,Comparison,Metric,Segment,value
0,GTvsDL,DICE,brainstem,0.8550287750068513
1,GTvsDL,EPL,brainstem,1457.8125
2,GTvsDL,Hausdorff,brainstem,6.582725529036206
3,GTvsDL,LineRatio,brainstem,0.7870216306156406
4,GTvsDL,MSD,brainstem,0.2911451990706753
5,GTvsDL,VolumeRatio,brainstem,0.1288212927756654
6,GTvsDLB,DICE,brainstem,0.9111385374884295
7,GTvsDLB,EPL,brainstem,1277.34375
8,GTvsDLB,Hausdorff,brainstem,4.76790416810678
9,GTvsDLB,LineRatio,brainstem,0.6747448979591837
10,GTvsDLB,MSD,brainstem,0.14025206453663489
11,GTvsDLB,VolumeRatio,brainstem,0.0776727702303603
12,GTvsATLAS,DICE,esophagus,0.5882274718766026
13,GTvsATLAS,EPL,esophagus,1215.8203125
14,GTvsATLAS,Hausdorff,esophagus,21.16583558806994
15,GTvsATLAS,LineRatio,esophagus,0.8735041283701281
16,GTvsATLAS,MSD,esophagus,2.149631521267733
17,GTvsATLAS,VolumeRatio,esophagus,0.3708146489613129
18,GTvsDL,DICE,esophagus,0.7408695652173913
19,GTvsDL,EPL,esophagus,1057.03125
20,GTvsDL,Hausdorff,esophagus,15.150321508842282
21,GTvsDL,LineRatio,esophagus,0.7321428571428571
22,GTvsDL,MSD,esophagus,0.8935017066712292
23,GTvsDL,VolumeRatio,esophagus,0.20493978362931206
24,GTvsDLB,DICE,esophagus,0.8857815312197148
25,GTvsDLB,EPL,esophagus,864.84375
26,GTvsDLB,Hausdorff,esophagus,4.225255400934363
27,GTvsDLB,LineRatio,esophagus,0.5933456561922366
28,GTvsDLB,MSD,esophagus,0.15866142918889545
29,GTvsDLB,VolumeRatio,esophagus,0.10228509249183897
30,GTvsDL,DICE,eyeback_merged,0.7525655644241733
31,GTvsDL,EPL,eyeback_merged,1051.171875
32,GTvsDL,Hausdorff,eyeback_merged,6.954108076570639
33,GTvsDL,LineRatio,eyeback_merged,0.8462264150943396
34,GTvsDL,MSD,eyeback_merged,0.6519014628767817
35,GTvsDL,VolumeRatio,eyeback_merged,0.3164163645779389
36,GTvsDLB,DICE,eyeback_merged,0.8968704226154854
37,GTvsDLB,EPL,eyeback_merged,704.8828125
38,GTvsDLB,Hausdorff,eyeback_merged,4.335385953062519
39,GTvsDLB,LineRatio,eyeback_merged,0.6102165824670917
40,GTvsDLB,MSD,eyeback_merged,0.15300694020571823
41,GTvsDLB,VolumeRatio,eyeback_merged,0.10599947768660378
42,GTvsDL,DICE,eyefront_merged,0.2046204620462046
43,GTvsDL,EPL,eyefront_merged,801.5625
44,GTvsDL,Hausdorff,eyefront_merged,11.600970628841797
45,GTvsDL,LineRatio,eyefront_merged,0.9726027397260274
46,GTvsDL,MSD,eyefront_merged,1.4035014286251113
47,GTvsDL,VolumeRatio,eyefront_merged,0.7025019546520719
48,GTvsDLB,DICE,eyefront_merged,0.8549464287825089
49,GTvsDLB,EPL,eyefront_merged,631.640625
50,GTvsDLB,Hausdorff,eyefront_merged,4.423451100287308
51,GTvsDLB,LineRatio,eyefront_merged,0.6045429964245836
52,GTvsDLB,MSD,eyefront_merged,0.22170727329453047
53,GTvsDLB,VolumeRatio,eyefront_merged,0.11675520534582684
54,GTvsATLAS,DICE,lips,0.6067036453394321
55,GTvsATLAS,EPL,lips,1686.328125
56,GTvsATLAS,Hausdorff,lips,14.342424435286741
57,GTvsATLAS,LineRatio,lips,0.847646612117974
58,GTvsATLAS,MSD,lips,1.3430516608571181
59,GTvsATLAS,VolumeRatio,lips,0.26152458507481136
60,GTvsDL,DICE,lips,0.6396432914471019
61,GTvsDL,EPL,lips,1557.421875
62,GTvsDL,Hausdorff,lips,13.513827553889016
63,GTvsDL,LineRatio,lips,0.8345227475468332
64,GTvsDL,MSD,lips,1.1717343743080653
65,GTvsDL,VolumeRatio,lips,0.3237671786580437
66,GTvsDLB,DICE,lips,0.8642038216560508
67,GTvsDLB,EPL,lips,1093.359375
68,GTvsDLB,Hausdorff,lips,6.582725529036206
69,GTvsDLB,LineRatio,lips,0.5880462724935732
70,GTvsDLB,MSD,lips,0.2496297482314025
71,GTvsDLB,VolumeRatio,lips,0.11788705175005368
72,GTvsATLAS,DICE,mandible,0.8744567986333802
73,GTvsATLAS,EPL,mandible,5159.765625
74,GTvsATLAS,Hausdorff,mandible,12.0
75,GTvsATLAS,LineRatio,mandible,0.7232597623089984
76,GTvsATLAS,MSD,mandible,0.2884655843139136
77,GTvsATLAS,VolumeRatio,mandible,0.15799657250262591
78,GTvsDL,DICE,mandible,0.9222661335181153
79,GTvsDL,EPL,mandible,3990.234375
80,GTvsDL,Hausdorff,mandible,9.037986641001297
81,GTvsDL,LineRatio,mandible,0.5387420780710273
82,GTvsDL,MSD,mandible,0.15533984430489578
83,GTvsDL,VolumeRatio,mandible,0.07239881788317021
84,GTvsDLB,DICE,mandible,0.9308125459299522
85,GTvsDLB,EPL,mandible,3728.90625
86,GTvsDLB,Hausdorff,mandible,6.6191205550514205
87,GTvsDLB,LineRatio,mandible,0.5083651189079739
88,GTvsDLB,MSD,mandible,0.1211784069734307
89,GTvsDLB,VolumeRatio,mandible,0.06659900849088363
90,GTvsATLAS,DICE,parotid_merged,0.7330223667081528
91,GTvsATLAS,EPL,parotid_merged,4190.625
92,GTvsATLAS,Hausdorff,parotid_merged,14.82212117176309
93,GTvsATLAS,LineRatio,parotid_merged,0.8985483989734433
94,GTvsATLAS,MSD,parotid_merged,0.8351793475295264
95,GTvsATLAS,VolumeRatio,parotid_merged,0.10791357025943973
96,GTvsDL,DICE,parotid_merged,0.8433994435968769
97,GTvsDL,EPL,parotid_merged,3576.5625
98,GTvsDL,Hausdorff,parotid_merged,12.0
99,GTvsDL,LineRatio,parotid_merged,0.7842673869007427
100,GTvsDL,MSD,parotid_merged,0.37176242129867937
101,GTvsDL,VolumeRatio,parotid_merged,0.1333175467677007
102,GTvsDLB,DICE,parotid_merged,0.8774381585830655
103,GTvsDLB,EPL,parotid_merged,3338.671875
104,GTvsDLB,Hausdorff,parotid_merged,9.585959785018922
105,GTvsDLB,LineRatio,parotid_merged,0.7151810584958217
106,GTvsDLB,MSD,parotid_merged,0.26188015019539795
107,GTvsDLB,VolumeRatio,parotid_merged,0.1127128772034658
108,GTvsATLAS,DICE,pcm_low,0.5432924563359346
109,GTvsATLAS,EPL,pcm_low,916.40625
110,GTvsATLAS,Hausdorff,pcm_low,12.113900364096198
111,GTvsATLAS,LineRatio,pcm_low,0.8134110787172012
112,GTvsATLAS,MSD,pcm_low,1.7562944512093133
113,GTvsATLAS,VolumeRatio,pcm_low,0.3878676470588235
114,GTvsDL,DICE,pcm_low,0.5953176772466113
115,GTvsDL,EPL,pcm_low,873.046875
116,GTvsDL,Hausdorff,pcm_low,12.393577328260456
117,GTvsDL,LineRatio,pcm_low,0.8063042979379077
118,GTvsDL,MSD,pcm_low,1.2955464253291287
119,GTvsDL,VolumeRatio,pcm_low,0.4789046355549168
120,GTvsDLB,DICE,pcm_low,0.8568920105355575
121,GTvsDLB,EPL,pcm_low,585.9375
122,GTvsDLB,Hausdorff,pcm_low,4.225255400934363
123,GTvsDLB,LineRatio,pcm_low,0.5707762557077626
124,GTvsDLB,MSD,pcm_low,0.20907463107157848
125,GTvsDLB,VolumeRatio,pcm_low,0.13003761418592155
126,GTvsATLAS,DICE,pcm_mid,0.6188306830606334
127,GTvsATLAS,EPL,pcm_mid,1229.8828125
128,GTvsATLAS,Hausdorff,pcm_mid,10.85486603930413
129,GTvsATLAS,LineRatio,pcm_mid,0.7907926841496593
130,GTvsATLAS,MSD,pcm_mid,1.1067213901065789
131,GTvsATLAS,VolumeRatio,pcm_mid,0.35706065593041025
132,GTvsDL,DICE,pcm_mid,0.6653163123618145
133,GTvsDL,EPL,pcm_mid,1204.98046875
134,GTvsDL,Hausdorff,pcm_mid,11.082543521075678
135,GTvsDL,LineRatio,pcm_mid,0.7863695185676609
